abv_abreviacao;abv_explicacao;pal_id
ginást.;ginástica;148982
ginec.;ginecologia;149010
gír.;gíria;149253
gov.;governador;151474
gr.;grau;152514
gráf.;gráfico;151709
gram.;gramática;152026
grav.;gravura;152718
grd.;grande;152220
hab.;habitante;155093
hidrául.;hidráulica;159610
hidrog.;hidrografia;160037
hidrol.;hidrologia;160083
hidrom.;hidrometria;160126
hidrost.;hidrostática;160324
hig.;higiene;160686
hipót.;hipótese;162120
hist.;história;162579
homôn.;homônimo;163455
id.;idem;165222
idol.;idolo;165474
igr.;igreja;165743
imit.;imitação;166587
imperf.;imperfeito;166810
import.;importação;166991
impres.;imprensa;167083
ind.;indeterminado;168583
indúst.;indústria;169048
inf.;inferior;169414
infin.;infinitivo;169512
inform.;informação;169604
ing.;inglês;169875
ins.;insular;171009
inscr.;inscrição;170602
inst.;instituição;170913
internac.;internacional;171579
jap.;japonês;176664
jard.;jardinagem;176890
jog.;jogo;178273
jorn.;jornal;178492
lab.;laboratório;179880
laborat.;laboratório;179880
lâm.;lâmina;181113
lanç.;lançamento;181359
larg.;largura;182085
lat.;latitude;182606
latit.;latitude;182606
legisl.;legislação;183281
leit.;leitura;183520
lig.;ligação;185829
líng.;Língua;186811
líq.;líquido;187559
lit.;literatura;187980
liv.;livro;188437
log.;logaritmo;188968
lóg.;lógica;188983
magnit.;magnitude;193082
maiúsc.;maiúscula;193388
maj.;major;193423
mal.;marechal;197346
máq.;máquina;196708
mar.;março;197289
marg.;marginal;197516
masc.;masculino;198824
mat.;matemática;199346
máx.;máximo;199935
med.;medicina;200451
méd.;médico;200458
memo.;memorando;202528
mens.;mensal;202972
mer.;meridiano;203467
merc.;mercado;203211
merid.;meridiano;203467
met.;meteorologia;205126
metáf.;metáfora;204581
meteor.;meteorologia;205126
min;minuto;208500
mín.;mínimo;208280
minúsc.;minúsculo;208490
mov.;movimento;214116
mun.;município;215924
mús.;música;216685
nac.;nacional;217265
náut.;náutica;218594
nav.;navegação;218659
neg.;negativo;219416
notic.;noticiário;223209
nov.;novembro;223553
num.;numeral;223989
núm.;número;224003
nutr.;nutrição;224132
O.K.;correto;84047
obr.;obrigado;224499
obs.;observação;224570
ocean.;oceano;224852
ocid.;ocidente;224896
odont.;odontologia;225567
oftalm.;oftalmologia;226166
ord.;ordem;229121
org.;organização;229407
orig.;origem;229628
out.;outubro;231741
pág.;página;233176
pal.;palavra;233664
paral.;paralelo;237174
pass.;passado;239259
paulist.;paulistano;240972
pç.;peça;241862
pça.;peça;241862
Pe.;Padre;233024
peq.;pequeno;244522
pesc.;pescar;247582
pesq.;pesquisa;247660
pess.;pessoa;247738
pg.;pago;233185
pgto.;pagamento;233144
pint.;pintura;250470
pl.;plural;254212
planej.;planejamento;252891
PM;Polícia;255538
poes.;poesia;255129
pol.;polegada;255344
políc.;polícia;255538
popul.;população;257231
pp.;páginas;233180
pq;porque;257603
Pr.;Pastor;239613
pr.;próprio;262377
pref.;prefeito;259720
presid.;presidente;260252
pret.;pretérito;260509
princ.;principal;260882
probl.;problema;261226
problem.;problemático;261231
prof.;professor;261636
